date;country;gdp
2007-Q1;Spain;256341
2007-Q1;France;475514.7
2007-Q1;Italy;382038
2007-Q1;Poland;70222.32
2006-Q4;Belgium;86202
2006-Q4;Germany;623300
2006-Q4;Spain;266246
2006-Q4;France;480658.4
2006-Q4;Italy;419820.2
2006-Q4;Poland;78903.79
2006-Q3;Belgium;79178
2006-Q3;Germany;600940
2006-Q3;Spain;245044
2006-Q3;France;451437.9
2006-Q3;Italy;379197.6
2006-Q3;Poland;66854.84
2006-Q2;Belgium;81604
2006-Q2;Germany;586070
2006-Q2;Spain;254165
2006-Q2;France;462672.8
2006-Q2;Italy;388842.8
2006-Q2;Poland;64992.91
2006-Q1;Belgium;78167
2006-Q1;Germany;574770
2006-Q1;Spain;238368
2006-Q1;France;453382.5
2006-Q1;Italy;364826.2
2006-Q1;Poland;63864.81
2005-Q4;Belgium;82206
2005-Q4;Germany;591340
2005-Q4;Spain;245907
2005-Q4;France;456272.6
2005-Q4;Italy;406263.9
2005-Q4;Poland;69815.85
2005-Q3;Belgium;75474
2005-Q3;Germany;578390
2005-Q3;Spain;226691
2005-Q3;France;431284.8
2005-Q3;Italy;364279.3
2005-Q3;Poland;60878.91
2005-Q2;Belgium;78056
2005-Q2;Germany;568040
2005-Q2;Spain;235008
2005-Q2;France;443664.5
2005-Q2;Italy;374087.6
2005-Q2;Poland;58701
2005-Q1;Belgium;74301
2005-Q1;Germany;550540
2005-Q1;Spain;219751
2005-Q1;France;434682.3
2005-Q1;Italy;349004.5
2005-Q1;Poland;57143.32
2004-Q4;Belgium;78320
2004-Q4;Germany;581520
2004-Q4;Spain;228041
2004-Q4;France;440062.7
2004-Q4;Italy;393441.4
2004-Q4;Poland;62325.82
2004-Q3;Belgium;72502
2004-Q3;Germany;570660
2004-Q3;Spain;210474
2004-Q3;France;417341.9
2004-Q3;Italy;354612
2004-Q3;Poland;51737.95
2004-Q2;Belgium;74658
2004-Q2;Germany;560160
2004-Q2;Spain;217083
2004-Q2;France;425489.7
2004-Q2;Italy;365327.8
2004-Q2;Poland;48215.12
2004-Q1;Belgium;71340
2004-Q1;Germany;550180
2004-Q1;Spain;203839
2004-Q1;France;421123.9
2004-Q1;Italy;338937.9
2004-Q1;Poland;44868.41
2003-Q4;Belgium;74063
2003-Q4;Germany;571600
2003-Q4;Spain;212086
2003-Q4;France;423121.7
2003-Q4;Italy;377793.4
2003-Q4;Poland;51003.2
2003-Q3;Belgium;68400
2003-Q3;Germany;562930
2003-Q3;Spain;196507
2003-Q3;France;400370.4
2003-Q3;Italy;342743.8
2003-Q3;Poland;47202.56
2003-Q2;Belgium;70879
2003-Q2;Germany;541560
2003-Q2;Spain;202759
2003-Q2;France;403975
2003-Q2;Italy;347763.9
2003-Q2;Poland;47683.2
2003-Q1;Belgium;67859
2003-Q1;Germany;535480
2003-Q1;Spain;190914
2003-Q1;France;403199.8
2003-Q1;Italy;326392.2
2003-Q1;Poland;46501.24
2002-Q4;Belgium;71770
2002-Q4;Germany;567060
2002-Q4;Spain;198458
2002-Q4;France;408941.9
2002-Q4;Italy;365813.3
2002-Q4;Poland;55762.07
2002-Q3;Belgium;66615
2002-Q3;Germany;560270
2002-Q3;Spain;183547
2002-Q3;France;390153.5
2002-Q3;Italy;330722.4
2002-Q3;Poland;49250.67
2002-Q2;Belgium;69024
2002-Q2;Germany;539780
2002-Q2;Spain;189754
2002-Q2;France;396414.4
2002-Q2;Italy;337565.5
2002-Q2;Poland;53394.5
2002-Q1;Belgium;65846
2002-Q1;Germany;531010
2002-Q1;Spain;177793
2002-Q1;France;392317.8
2002-Q1;Italy;316157.7
2002-Q1;Poland;52478.86
2001-Q4;Belgium;68904
2001-Q4;Germany;562710
2001-Q4;Spain;185971
2001-Q4;France;396839.4
2001-Q4;Italy;354125.6
2001-Q4;Poland;59211.97
2001-Q3;Belgium;64389
2001-Q3;Germany;547220
2001-Q3;Spain;171995
2001-Q3;France;376148.8
2001-Q3;Italy;316146
2001-Q3;Poland;51623.73
2001-Q2;Belgium;67113
2001-Q2;Germany;532360
2001-Q2;Spain;176446
2001-Q2;France;383968.9
2001-Q2;Italy;325931.5
2001-Q2;Poland;54848.16
2001-Q1;Belgium;63929
2001-Q1;Germany;530250
2001-Q1;Spain;166581
2001-Q1;France;381241.2
2001-Q1;Italy;307933.8
2001-Q1;Poland;47549.68
2000-Q4;Belgium;67609
2000-Q4;Germany;542990
2000-Q4;Spain;172186
2000-Q4;France;384236.2
2000-Q4;Italy;339856.4
2000-Q4;Poland;54247.77
2000-Q3;Belgium;62471
2000-Q3;Germany;532100
2000-Q3;Spain;158993
2000-Q3;France;362227.2
2000-Q3;Italy;301048.9
2000-Q3;Poland;47038.88
2000-Q2;Belgium;64522
2000-Q2;Germany;519390
2000-Q2;Spain;162872
2000-Q2;France;368704.4
2000-Q2;Italy;309760.7
2000-Q2;Poland;44298.15
2000-Q1;Belgium;61774
2000-Q1;Germany;514610
2000-Q1;Spain;153800
2000-Q1;France;363418.1
2000-Q1;Italy;290846.9
2000-Q1;Poland;41435.23
1999-Q4;Belgium;64215
1999-Q4;Germany;538920
1999-Q4;Spain;158888
1999-Q4;France;363289.8
1999-Q4;Italy;323015.2
1999-Q4;Poland;45765.01
1999-Q3;Belgium;59219
1999-Q3;Germany;520870
1999-Q3;Spain;145954
1999-Q3;France;343381.8
1999-Q3;Italy;285312
1999-Q3;Poland;40523.49
1999-Q2;Belgium;60722
1999-Q2;Germany;504250
1999-Q2;Spain;149831
1999-Q2;France;349806.8
1999-Q2;Italy;292615.1
1999-Q2;Poland;38233.57
1999-Q1;Belgium;58150
1999-Q1;Germany;495440
1999-Q1;Spain;141050
